Pays;Population
fichier04;44444
Chine;1365810000
Inde;1250662547
États-Unis;318881992
Indonésie;255461700
Brésil;204300000
Pakistan;191169265
Nigeria;177155754
Bangladesh;157926376
Russie;146267288
Japon;127100000
Mexique;119713203
Philippines;101359514
Éthiopie;96633458
ViêtNam;93421835
Égypte;88198791
Allemagne;81197500
Iran;80840713
Turquie;79414269
République démocratique du Congo;77433744
France;66318000
Thaïlande;65104000
Royaume-Uni;63181775
Italie;60782668
Birmanie;55746253
Tanzanie;49639138
Corée du Sud;49039986
Afrique du Sud;48375645
Espagne;47737941
Colombie;46245297
Kenya;45010056
Ukraine;44291413
Argentine;42669500
Algérie;39500000
Pologne;38484000
Ouganda;35918915
Canada;35702707
Soudan;35482233
Maroc;32987206
Irak;32585692
Afghanistan;31822848
Ouzbékistan;31022500
Arabie saoudite;30770375
Venezuela;30206307
Pérou;30147935
Malaisie;29900000
Népal;28000000
Mozambique;27220000
Ghana;27043093
Yémen;26180000
Corée du Nord;24851627
Australie;23574600
Taïwan;23449287
Côte d'Ivoire;22671331
Syrie;21895150
Madagascar;21842167
Sri Lanka;20675000
Cameroun;20386799
Roumanie;19942642
Angola;19088106
Kazakhstan;17541200
Burkina Faso;17322796
Pays-Bas;16783092
Chili;16572475
Mali;16455903
Niger;16274738
Malawi;15805239
Cambodge;15458332
Équateur;15445691
Guatemala;14647083
Zambie;14638505
Zimbabwe;13771721
Sénégal;13567338
Rwanda;12337138
Somalie;12316895
Soudan du Sud;11562695
Guinée;11474383
Tchad;11412107
Belgique;11258434
Tunisie;10982754
Bolivie;10631486
République tchèque;10538275
Cuba;10427301
Portugal;10374822
République dominicaine;10349741
Bénin;10160556
